CITY,NICKNAME,TEAM_ID,W,L,W_HOME,L_HOME,W_ROAD,L_ROAD,TEAM_TURNOVERS,TEAM_REBOUNDS,GP,GS,ACTUAL_MINUTES,ACTUAL_SECONDS,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,OFF_REB,DEF_REB,TOT_REB,AST,PF,STL,TOTAL_TURNOVERS,BLK,PTS,AVG_REB,AVG_PTS,DQ,OFFENSIVE_EFFICIENCY,SCORING_MARGIN,SEASON,GAME_DATE,GAME_ID,HOME_FLAG,AWAY_FLAG,HOME_WIN_PCTG,AWAY_WIN_PCTG,TOTAL_WIN_PCTG,ROLLING_SCORING_MARGIN,ROLLING_OE,NUM_REST_DAYS
Atlanta,Hawks,1610612737,0,1,0,1,0,0,2,9,1,5,240,0,36,89,0.404,11,47,0.234,13,16,0.813,9,31,49,19,18,11,18,5,96,49.0,96.0,0,0.4700854700854701,-4.0,2024-25,2025-01-28,22400532,1,0,0.5,0.4583333333333333,0.46808510638297873,-11.666666666666666,0.4793911312714279,1.0
OPPONENTS, Rockets,1610612745,1,0,0,0,1,0,0,6,1,5,240,0,37,79,0.468,7,30,0.233,19,20,0.95,6,38,50,19,20,12,21,4,100,50.0,100.0,0,0.49557522123893805,4.0,2024-25,2025-01-28,22400532,0,1,0.6818181818181818,0.7391304347826086,0.6956521739130435,3.3333333333333335,0.5900187652400043,1.0
Minnesota,Timberwolves,1610612750,1,0,1,0,0,0,2,9,1,5,240,0,34,86,0.395,12,40,0.3,20,29,0.69,14,37,60,18,18,13,18,4,100,60.0,100.0,0,0.48148148148148145,8.0,2024-25,2025-01-27,22400656,1,0,0.5454545454545454,0.5416666666666666,0.5434782608695652,12.666666666666666,0.5847065404690822,2.0
OPPONENTS, Hawks,1610612737,0,1,0,0,0,1,1,8,1,5,240,0,34,86,0.395,12,43,0.279,12,18,0.667,14,37,59,24,20,10,22,3,92,59.0,92.0,0,0.4915254237288136,-8.0,2024-25,2025-01-27,22400656,0,1,0.5238095238095238,0.4583333333333333,0.4782608695652174,-11.333333333333334,0.5178179257957835,2.0
Atlanta,Hawks,1610612737,0,1,0,1,0,0,2,10,1,5,240,0,33,84,0.393,11,37,0.297,17,25,0.68,8,35,53,28,20,14,24,5,94,53.0,94.0,0,0.4765625,-23.0,2024-25,2025-01-25,22400639,1,0,0.5238095238095238,0.4782608695652174,0.4888888888888889,-12.0,0.5219551205108508,2.0
OPPONENTS, Raptors,1610612761,1,0,0,0,1,0,0,6,1,5,240,0,42,90,0.467,11,30,0.367,22,25,0.88,9,42,57,31,20,11,21,7,117,57.0,117.0,0,0.5488721804511278,23.0,2024-25,2025-01-25,22400639,0,1,0.43478260869565216,0.13636363636363635,0.28888888888888886,14.0,0.5982575451849302,2.0
Atlanta,Hawks,1610612737,0,1,0,1,0,0,1,10,1,5,240,0,42,87,0.483,13,37,0.351,22,30,0.733,9,27,46,30,21,11,15,2,119,46.0,119.0,0,0.5853658536585366,-3.0,2024-25,2025-01-23,22400623,1,0,0.55,0.4782608695652174,0.5,-7.333333333333333,0.5441354366028047,1.0
OPPONENTS, Raptors,1610612761,1,0,0,0,1,0,1,7,1,5,240,0,47,81,0.58,9,21,0.429,19,24,0.792,6,33,46,32,26,10,20,2,122,46.0,122.0,0,0.6220472440944882,3.0,2024-25,2025-01-23,22400623,0,1,0.43478260869565216,0.09523809523809523,0.2727272727272727,0.3333333333333333,0.615842157121275,2.0
Atlanta,Hawks,1610612737,0,1,0,1,0,0,1,11,1,5,240,0,39,103,0.379,6,38,0.158,20,26,0.769,15,32,58,25,14,14,14,3,104,58.0,104.0,0,0.5039370078740157,-10.0,2024-25,2025-01-22,22400612,1,0,0.5789473684210527,0.4782608695652174,0.5116279069767442,-5.0,0.5383468187166259,2.0
OPPONENTS, Pistons,1610612765,1,0,0,0,1,0,1,4,1,5,240,0,42,84,0.5,12,34,0.353,18,19,0.947,7,44,55,27,19,7,21,10,114,55.0,114.0,0,0.552,10.0,2024-25,2025-01-22,22400612,0,1,0.47619047619047616,0.5652173913043478,0.5227272727272727,5.666666666666667,0.5604705882352942,2.0
New York,Knicks,1610612752,1,0,1,0,0,0,1,10,1,5,240,0,47,90,0.522,9,26,0.346,16,21,0.762,12,27,49,31,21,8,16,1,119,49.0,119.0,0,0.624,9.0,2024-25,2025-01-20,22400602,1,0,0.6363636363636364,0.6363636363636364,0.6363636363636364,-0.6666666666666666,0.5972500351765865,3.0
OPPONENTS, Hawks,1610612737,0,1,0,0,0,1,1,8,1,5,240,0,40,85,0.471,13,30,0.433,17,22,0.773,16,25,49,23,21,10,24,6,110,49.0,110.0,1,0.5431034482758621,-9.0,2024-25,2025-01-20,22400602,0,1,0.6111111111111112,0.4782608695652174,0.5238095238095238,3.6666666666666665,0.5543678160919541,2.0
Boston,Celtics,1610612738,0,1,0,1,0,0,0,5,1,5,265,0,40,104,0.385,15,52,0.288,20,23,0.87,17,36,58,23,18,13,14,6,115,58.0,115.0,0,0.5080645161290323,-4.0,2024-25,2025-01-18,22400587,1,0,0.6521739130434783,0.7368421052631579,0.6904761904761905,3.3333333333333335,0.5642786086334474,1.0
OPPONENTS, Hawks,1610612737,1,0,0,0,1,0,1,9,1,5,265,0,44,93,0.473,9,37,0.243,22,28,0.786,13,42,64,27,17,9,18,10,119,64.0,119.0,0,0.568,4.0,2024-25,2025-01-18,22400587,0,1,0.6111111111111112,0.5,0.5365853658536586,8.333333333333334,0.563391812865497,3.0
Chicago,Bulls,1610612741,0,1,0,1,0,0,0,4,1,5,240,0,39,88,0.443,6,27,0.222,10,10,1.0,8,45,57,23,15,5,20,5,94,57.0,94.0,0,0.5040650406504065,-16.0,2024-25,2025-01-15,22400563,1,0,0.36363636363636365,0.5263157894736842,0.43902439024390244,-9.0,0.5561707860129669,1.0
OPPONENTS, Hawks,1610612737,1,0,0,0,1,0,2,7,1,5,240,0,41,100,0.41,13,43,0.302,15,22,0.682,14,37,58,28,15,11,11,5,110,58.0,110.0,0,0.552,16.0,2024-25,2025-01-15,22400563,0,1,0.6111111111111112,0.47619047619047616,0.525,4.333333333333333,0.5779152288434585,1.0
Atlanta,Hawks,1610612737,1,0,1,0,0,0,2,10,1,5,240,0,43,98,0.439,17,41,0.415,19,26,0.731,20,34,64,22,21,10,14,3,122,64.0,122.0,0,0.5701754385964912,5.0,2024-25,2025-01-14,22400556,1,0,0.6111111111111112,0.45,0.5128205128205128,0.0,0.6025666283345527,5.0
OPPONENTS, Suns,1610612756,0,1,0,0,0,1,0,11,1,5,240,0,43,84,0.512,13,35,0.371,18,27,0.667,6,31,48,28,17,10,13,4,117,48.0,117.0,0,0.5966386554621849,-5.0,2024-25,2025-01-14,22400556,0,1,0.6190476190476191,0.3333333333333333,0.48717948717948717,3.3333333333333335,0.6085433139435068,2.0
Phoenix,Suns,1610612756,1,0,1,0,0,0,0,8,1,5,240,0,49,85,0.576,13,33,0.394,12,15,0.8,12,30,50,33,15,7,16,6,123,50.0,123.0,0,0.6721311475409836,8.0,2024-25,2025-01-09,22400522,1,0,0.5789473684210527,0.35294117647058826,0.4722222222222222,2.3333333333333335,0.6054735130741092,2.0
OPPONENTS, Hawks,1610612737,0,1,0,0,0,1,0,2,1,5,240,0,42,86,0.488,15,32,0.469,16,17,0.941,8,24,34,32,19,11,11,3,115,34.0,115.0,0,0.6115702479338843,-8.0,2024-25,2025-01-09,22400522,0,1,0.5882352941176471,0.45,0.5,-10.333333333333334,0.5829342139652962,2.0
