MATCHUP                                  ,GAME_ID    ,SEASON  ,GAME_DATE  ,HOME_TEAM_NICKNAME ,HOME_TEAM_ID ,AWAY_TEAM_NICKNAME ,AWAY_TEAM_ID
05/16/2021 Rockets at Hawks              ,0022001066 ,2020-21 ,2021-05-16 ,Hawks              ,  1610612737 ,Rockets            ,  1610612745
05/13/2021 Magic at Hawks                ,0022001049 ,2020-21 ,2021-05-13 ,Hawks              ,  1610612737 ,Magic              ,  1610612753
05/12/2021 Wizards at Hawks              ,0022001042 ,2020-21 ,2021-05-12 ,Hawks              ,  1610612737 ,Wizards            ,  1610612764
05/10/2021 Wizards at Hawks              ,0022001026 ,2020-21 ,2021-05-10 ,Hawks              ,  1610612737 ,Wizards            ,  1610612764
05/06/2021 Hawks at Pacers               ,0022001000 ,2020-21 ,2021-05-06 ,Pacers             ,  1610612754 ,Hawks              ,  1610612737
05/05/2021 Suns at Hawks                 ,0022000992 ,2020-21 ,2021-05-05 ,Hawks              ,  1610612737 ,Suns               ,  1610612756
05/03/2021 Trail Blazers at Hawks        ,0022000978 ,2020-21 ,2021-05-03 ,Hawks              ,  1610612737 ,Trail Blazers      ,  1610612757
05/01/2021 Bulls at Hawks                ,0022000959 ,2020-21 ,2021-05-01 ,Hawks              ,  1610612737 ,Bulls              ,  1610612741
04/30/2021 Hawks at 76ers                ,0022000949 ,2020-21 ,2021-04-30 ,76ers              ,  1610612755 ,Hawks              ,  1610612737
04/28/2021 Hawks at 76ers                ,0022000934 ,2020-21 ,2021-04-28 ,76ers              ,  1610612755 ,Hawks              ,  1610612737
04/26/2021 Hawks at Pistons              ,0022000916 ,2020-21 ,2021-04-26 ,Pistons            ,  1610612765 ,Hawks              ,  1610612737
04/25/2021 Bucks at Hawks                ,0022000913 ,2020-21 ,2021-04-25 ,Hawks              ,  1610612737 ,Bucks              ,  1610612749
04/23/2021 Heat at Hawks                 ,0022000898 ,2020-21 ,2021-04-23 ,Hawks              ,  1610612737 ,Heat               ,  1610612748
04/21/2021 Hawks at Knicks               ,0022000886 ,2020-21 ,2021-04-21 ,Knicks             ,  1610612752 ,Hawks              ,  1610612737
04/20/2021 Magic at Hawks                ,0022000876 ,2020-21 ,2021-04-20 ,Hawks              ,  1610612737 ,Magic              ,  1610612753
04/18/2021 Pacers at Hawks               ,0022000861 ,2020-21 ,2021-04-18 ,Hawks              ,  1610612737 ,Pacers             ,  1610612754
04/15/2021 Bucks at Hawks                ,0022000840 ,2020-21 ,2021-04-15 ,Hawks              ,  1610612737 ,Bucks              ,  1610612749
04/13/2021 Hawks at Raptors              ,0022000824 ,2020-21 ,2021-04-13 ,Raptors            ,  1610612761 ,Hawks              ,  1610612737
04/11/2021 Hawks at Hornets              ,0022000805 ,2020-21 ,2021-04-11 ,Hornets            ,  1610612766 ,Hawks              ,  1610612737
04/09/2021 Bulls at Hawks                ,0022000791 ,2020-21 ,2021-04-09 ,Hawks              ,  1610612737 ,Bulls              ,  1610612741
04/07/2021 Grizzlies at Hawks            ,0022000780 ,2020-21 ,2021-04-07 ,Hawks              ,  1610612737 ,Grizzlies          ,  1610612763
04/06/2021 Pelicans at Hawks             ,0022000770 ,2020-21 ,2021-04-06 ,Hawks              ,  1610612737 ,Pelicans           ,  1610612740
04/04/2021 Warriors at Hawks             ,0022000759 ,2020-21 ,2021-04-04 ,Hawks              ,  1610612737 ,Warriors           ,  1610612744
04/02/2021 Hawks at Pelicans             ,0022000742 ,2020-21 ,2021-04-02 ,Pelicans           ,  1610612740 ,Hawks              ,  1610612737
04/01/2021 Hawks at Spurs                ,0022000735 ,2020-21 ,2021-04-01 ,Spurs              ,  1610612759 ,Hawks              ,  1610612737
03/30/2021 Hawks at Suns                 ,0022000171 ,2020-21 ,2021-03-30 ,Suns               ,  1610612756 ,Hawks              ,  1610612737
03/28/2021 Hawks at Nuggets              ,0022000705 ,2020-21 ,2021-03-28 ,Nuggets            ,  1610612743 ,Hawks              ,  1610612737
03/26/2021 Hawks at Warriors             ,0022000692 ,2020-21 ,2021-03-26 ,Warriors           ,  1610612744 ,Hawks              ,  1610612737
03/24/2021 Hawks at Kings                ,0022000677 ,2020-21 ,2021-03-24 ,Kings              ,  1610612758 ,Hawks              ,  1610612737
03/22/2021 Hawks at Clippers             ,0022000660 ,2020-21 ,2021-03-22 ,Clippers           ,  1610612746 ,Hawks              ,  1610612737
03/20/2021 Hawks at Lakers               ,0022000640 ,2020-21 ,2021-03-20 ,Lakers             ,  1610612747 ,Hawks              ,  1610612737
03/18/2021 Thunder at Hawks              ,0022000626 ,2020-21 ,2021-03-18 ,Hawks              ,  1610612737 ,Thunder            ,  1610612760
03/16/2021 Hawks at Rockets              ,0022000613 ,2020-21 ,2021-03-16 ,Rockets            ,  1610612745 ,Hawks              ,  1610612737
03/14/2021 Cavaliers at Hawks            ,0022000597 ,2020-21 ,2021-03-14 ,Hawks              ,  1610612737 ,Cavaliers          ,  1610612739
03/13/2021 Kings at Hawks                ,0022000590 ,2020-21 ,2021-03-13 ,Hawks              ,  1610612737 ,Kings              ,  1610612758
03/11/2021 Hawks at Raptors              ,0022000570 ,2020-21 ,2021-03-11 ,Raptors            ,  1610612761 ,Hawks              ,  1610612737
03/03/2021 Hawks at Magic                ,0022000544 ,2020-21 ,2021-03-03 ,Magic              ,  1610612753 ,Hawks              ,  1610612737
03/02/2021 Hawks at Heat                 ,0022000538 ,2020-21 ,2021-03-02 ,Heat               ,  1610612748 ,Hawks              ,  1610612737
02/28/2021 Hawks at Heat                 ,0022000522 ,2020-21 ,2021-02-28 ,Heat               ,  1610612748 ,Hawks              ,  1610612737
02/26/2021 Hawks at Thunder              ,0022000510 ,2020-21 ,2021-02-26 ,Thunder            ,  1610612760 ,Hawks              ,  1610612737
02/24/2021 Celtics at Hawks              ,0022000490 ,2020-21 ,2021-02-24 ,Hawks              ,  1610612737 ,Celtics            ,  1610612738
02/23/2021 Hawks at Cavaliers            ,0022000480 ,2020-21 ,2021-02-23 ,Cavaliers          ,  1610612739 ,Hawks              ,  1610612737
02/21/2021 Nuggets at Hawks              ,0022000470 ,2020-21 ,2021-02-21 ,Hawks              ,  1610612737 ,Nuggets            ,  1610612743
02/19/2021 Hawks at Celtics              ,0022000451 ,2020-21 ,2021-02-19 ,Celtics            ,  1610612738 ,Hawks              ,  1610612737
02/17/2021 Hawks at Celtics              ,0022000438 ,2020-21 ,2021-02-17 ,Celtics            ,  1610612738 ,Hawks              ,  1610612737
02/15/2021 Hawks at Knicks               ,0022000422 ,2020-21 ,2021-02-15 ,Knicks             ,  1610612752 ,Hawks              ,  1610612737
02/13/2021 Pacers at Hawks               ,0022000407 ,2020-21 ,2021-02-13 ,Hawks              ,  1610612737 ,Pacers             ,  1610612754
02/12/2021 Spurs at Hawks                ,0022000397 ,2020-21 ,2021-02-12 ,Hawks              ,  1610612737 ,Spurs              ,  1610612759
02/10/2021 Hawks at Mavericks            ,0022000384 ,2020-21 ,2021-02-10 ,Mavericks          ,  1610612742 ,Hawks              ,  1610612737
02/06/2021 Raptors at Hawks              ,0022000356 ,2020-21 ,2021-02-06 ,Hawks              ,  1610612737 ,Raptors            ,  1610612761
02/04/2021 Jazz at Hawks                 ,0022000338 ,2020-21 ,2021-02-04 ,Hawks              ,  1610612737 ,Jazz               ,  1610612762
02/03/2021 Mavericks at Hawks            ,0022000330 ,2020-21 ,2021-02-03 ,Hawks              ,  1610612737 ,Mavericks          ,  1610612742
02/01/2021 Lakers at Hawks               ,0022000313 ,2020-21 ,2021-02-01 ,Hawks              ,  1610612737 ,Lakers             ,  1610612747
01/29/2021 Hawks at Wizards              ,0022000290 ,2020-21 ,2021-01-29 ,Wizards            ,  1610612764 ,Hawks              ,  1610612737
01/27/2021 Nets at Hawks                 ,0022000274 ,2020-21 ,2021-01-27 ,Hawks              ,  1610612737 ,Nets               ,  1610612751
01/26/2021 Clippers at Hawks             ,0022000268 ,2020-21 ,2021-01-26 ,Hawks              ,  1610612737 ,Clippers           ,  1610612746
01/24/2021 Hawks at Bucks                ,0022000254 ,2020-21 ,2021-01-24 ,Bucks              ,  1610612749 ,Hawks              ,  1610612737
01/22/2021 Hawks at Timberwolves         ,0022000236 ,2020-21 ,2021-01-22 ,Timberwolves       ,  1610612750 ,Hawks              ,  1610612737
01/20/2021 Pistons at Hawks              ,0022000219 ,2020-21 ,2021-01-20 ,Hawks              ,  1610612737 ,Pistons            ,  1610612765
01/18/2021 Timberwolves at Hawks         ,0022000205 ,2020-21 ,2021-01-18 ,Hawks              ,  1610612737 ,Timberwolves       ,  1610612750
01/16/2021 Hawks at Trail Blazers        ,0022000195 ,2020-21 ,2021-01-16 ,Trail Blazers      ,  1610612757 ,Hawks              ,  1610612737
